Grid search: 1 combinations x 10 sims each
  n_sigma:  [2.0]
  lambda2:  [1.5]
  Base:     output/experiment2
  Output:   output/grid6_*/
============================================================

============================================================
[1/1] n_sigma=2.0, lambda2=1.5
  Output: output/grid6_ns2.0_l21.5
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid6_ns2.0_l21.5/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=2.0, tau=20, lambda2=1.5

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
  104    -0.0000    -0.0004     0.0006     0.1935     0.0030     0.0002    -1.3242       0.26     2.5s
  105    -0.0000    -0.0006     0.0012     0.1869     0.0030     0.0002    -1.3251       0.26     2.4s
  106    -0.0000     0.0003     0.0006     0.1726     0.0023     0.0002    -1.3384       0.26     2.6s
  107    -0.0000     0.0001     0.0007     0.1516     0.0029     0.0002    -1.3447       0.26     2.6s
  108    -0.0000     0.0001     0.0012     0.1488     0.0032     0.0002    -1.3434       0.26     2.5s
  109    -0.0000    -0.0009     0.0010     0.1619     0.0049     0.0002    -1.3327       0.25     2.6s
  110    -0.0000    -0.0005     0.0009     0.1721     0.0028     0.0002    -1.3351       0.25     2.5s
  111    -0.0000    -0.0010     0.0008     0.1587     0.0036     0.0002    -1.3433       0.25     2.5s
  112    -0.0000     0.0000     0.0010     0.1551     0.0027     0.0002    -1.3401       0.25     2.5s
  113    -0.0000    -0.0005     0.0006     0.1689     0.0039     0.0002    -1.3277       0.25     2.6s
  114    -0.0000    -0.0013     0.0020     0.1794     0.0025     0.0002    -1.3303       0.25     2.6s
  115    -0.0000    -0.0000     0.0008     0.1842     0.0030     0.0002    -1.3236       0.25     2.5s
  116    -0.0000     0.0001     0.0007     0.1977     0.0030     0.0002    -1.3195       0.25     2.5s
  117    -0.0000    -0.0014     0.0018     0.2141     0.0046     0.0002    -1.3063       0.25     2.6s
  118    -0.0000    -0.0003     0.0011     0.2278     0.0032     0.0002    -1.3039       0.24     2.5s
  119    -0.0000     0.0005     0.0007     0.2209     0.0030     0.0002    -1.3105       0.24     2.6s
  120    -0.0000     0.0004     0.0007     0.2129     0.0028     0.0002    -1.3167       0.24     2.5s
  121    -0.0000     0.0001     0.0008     0.2095     0.0019     0.0002    -1.3149       0.24     2.6s
