Grid search: 18 combinations x 10 sims each
  n_sigma:  [0.0, 0.1, 0.2, 0.5, 1.0, 2.0]
  lambda2:  [0.0, 1.5, 10.0]
  Base:     output/experiment2
  Output:   output/grid7_*/
============================================================

============================================================
[1/18] n_sigma=0.0, lambda2=0.0
  Output: output/grid7_ns0.0_l20.0
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid7_ns0.0_l20.0/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=0.0, tau=20, lambda2=0.0

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
  129    -0.0000    -0.0012     0.6777     0.8773     0.0023     0.0002    -0.9842       0.01     4.3s
  130     0.0004     0.0103     7.2231     0.8693     0.0057     0.0002    -0.9842       0.01     3.7s KL!
  131    -0.0002    -0.0004     0.4338     0.8693     0.0015     0.0002    -0.9841       0.01     4.2s
  132     0.0000     0.0010     1.1821     0.8694     0.0071     0.0002    -0.9846       0.02     4.3s
  133    -0.0000    -0.0006     0.7245     0.8729     0.0036     0.0002    -0.9816       0.02     4.3s
  134    -0.0000    -0.0073     0.5507     0.8750     0.0050     0.0002    -0.9812       0.01     3.7s KL!
  135     0.0001    -0.0002     0.7803     0.8718     0.0045     0.0002    -0.9857       0.02     4.2s
  136    -0.0004    -0.0006     0.7712     0.8664     0.0028     0.0002    -0.9854       0.02     4.2s
  137     0.0000    -0.0016     0.6390     0.8621     0.0031     0.0002    -0.9896       0.02     4.2s
  138     0.0003    -0.0011     0.6835     0.8527     0.0026     0.0002    -0.9953       0.02     4.3s
  139     0.0003    -0.0019     0.5825     0.8378     0.0024     0.0002    -1.0044       0.02     4.2s
  140    -0.0000    -0.0015     0.8471     0.8304     0.0028     0.0002    -1.0025       0.02     4.2s
  141    -0.0000    -0.0010     0.6822     0.8359     0.0054     0.0002    -0.9999       0.02     4.2s
  142    -0.0001    -0.0017     0.7656     0.8366     0.0045     0.0002    -1.0026       0.02     4.2s
  143    -0.0001    -0.0011     0.7568     0.8336     0.0037     0.0001    -1.0009       0.02     4.2s
  144     0.0006     0.0000     0.7122     0.8395     0.0043     0.0001    -0.9971       0.02     4.2s
  145    -0.0001     0.0027     1.0017     0.8437     0.0031     0.0001    -0.9970       0.02     4.2s
  146     0.0000    -0.0015     0.8367     0.8316     0.0028     0.0001    -1.0092       0.02     4.2s
  147    -0.0001    -0.0017     0.7657     0.8188     0.0036     0.0001    -1.0090       0.02     4.2s
  148     0.0000    -0.0014     0.8523     0.8187     0.0038     0.0001    -1.0101       0.02     4.2s
  149    -0.0004    -0.0029     0.7875     0.8185     0.0036     0.0001    -1.0093       0.02     4.2s
  150     0.0002    -0.0006     0.6544     0.8205     0.0029     0.0001    -1.0091       0.02     4.2s
  151     0.0002    -0.0025     0.4389     0.8069     0.0042     0.0001    -1.0233       0.02     4.2s
  152     0.0000    -0.0002     0.6614     0.7920     0.0038     0.0001    -1.0218       0.02     4.0s
  153    -0.0001    -0.0017     0.6292     0.7959     0.0017     0.0001    -1.0195       0.02     4.2s
  154     0.0001    -0.0014     0.6410     0.7986     0.0039     0.0001    -1.0195       0.02     4.2s
  155    -0.0002     0.0033     1.4016     0.7969     0.0049     0.0001    -1.0229       0.02     4.2s
  156    -0.0005    -0.0009     0.5307     0.7869     0.0022     0.0001    -1.0258       0.02     4.2s
  157    -0.0002    -0.0012     0.7811     0.7851     0.0030     0.0001    -1.0264       0.02     4.2s
  158    -0.0007     0.0004     0.8734     0.7829     0.0029     0.0001    -1.0302       0.02     4.2s
  159     0.0009    -0.0005     1.1026     0.7765     0.0038     0.0001    -1.0309       0.02     4.2s
  160    -0.0003    -0.0018     0.5932     0.7835     0.0035     0.0001    -1.0222       0.02     4.2s
  161    -0.0009    -0.0007     0.8696     0.7917     0.0030     0.0001    -1.0241       0.02     4.3s
  162    -0.0003    -0.0014     0.8190     0.7889     0.0051     0.0001    -1.0248       0.02     4.2s
  163     0.0004    -0.0018     0.5799     0.7727     0.0031     0.0001    -1.0395       0.02     4.3s
  164    -0.0004    -0.0012     0.6119     0.7518     0.0035     0.0001    -1.0462       0.02     4.2s
  165     0.0012    -0.0016     0.6393     0.7400     0.0020     0.0001    -1.0528       0.02     4.2s
  166     0.0001    -0.0009     0.7349     0.7214     0.0046     0.0001    -1.0627       0.02     4.2s
  167    -0.0002    -0.0008     0.5697     0.7021     0.0061     0.0001    -1.0721       0.02     4.2s
  168     0.0000    -0.0003     0.7813     0.6912     0.0037     0.0001    -1.0747       0.02     4.2s
  169    -0.0001     0.0002     0.6244     0.6896     0.0035     0.0001    -1.0732       0.02     4.2s
  170    -0.0001    -0.0014     0.8963     0.6925     0.0032     0.0001    -1.0735       0.02     4.2s
